strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
FULL,FULL_R0.01_ATR1.0_RR1.5_DL1,683,280,403,41.0,-8298.65,1701.35,-82.99,83.3,-12.1503,-0.9962,,0.01,1.0,1.5,4.81,7.22,1
FULL,FULL_R0.01_ATR1.0_RR1.5_DL2,1067,446,621,41.8,-9238.94,761.06,-92.39,92.94,-8.6588,-0.9941,,0.01,1.0,1.5,4.79,7.18,2
FULL,FULL_R0.01_ATR1.0_RR1.5_DL3,1235,516,719,41.78,-9510.21,489.79,-95.1,95.44,-7.7006,-0.9964,,0.01,1.0,1.5,4.73,7.09,3
FULL,FULL_R0.01_ATR1.0_RR1.5_DL4,1308,550,758,42.05,-9559.46,440.54,-95.59,95.84,-7.3085,-0.9974,,0.01,1.0,1.5,4.69,7.03,4
FULL,FULL_R0.01_ATR1.0_RR1.5_DL5,1330,560,770,42.11,-9577.18,422.82,-95.77,95.95,-7.2009,-0.9981,,0.01,1.0,1.5,4.67,7.01,5
FULL,FULL_R0.01_ATR1.0_RR1.75_DL1,652,243,409,37.27,-8164.33,1835.67,-81.64,82.13,-12.522,-0.9941,,0.01,1.0,1.75,4.82,8.44,1
FULL,FULL_R0.01_ATR1.0_RR1.75_DL2,1028,389,639,37.84,-9205.96,794.04,-92.06,92.41,-8.9552,-0.9962,,0.01,1.0,1.75,4.8,8.41,2
FULL,FULL_R0.01_ATR1.0_RR1.75_DL3,1203,454,749,37.74,-9511.81,488.19,-95.12,95.41,-7.9067,-0.997,,0.01,1.0,1.75,4.77,8.34,3
FULL,FULL_R0.01_ATR1.0_RR1.75_DL4,1280,487,793,38.05,-9559.85,440.15,-95.6,95.7,-7.4686,-0.9989,,0.01,1.0,1.75,4.72,8.25,4
FULL,FULL_R0.01_ATR1.0_RR1.75_DL5,1304,497,807,38.11,-9578.47,421.53,-95.78,95.85,-7.3455,-0.9993,,0.01,1.0,1.75,4.69,8.21,5
FULL,FULL_R0.01_ATR1.0_RR2.0_DL1,636,226,410,35.53,-7569.41,2430.59,-75.69,76.36,-11.9016,-0.9913,,0.01,1.0,2.0,4.76,9.51,1
FULL,FULL_R0.01_ATR1.0_RR2.0_DL2,1002,352,650,35.13,-9051.83,948.17,-90.52,90.52,-9.0338,-1.0,,0.01,1.0,2.0,4.77,9.53,2
FULL,FULL_R0.01_ATR1.0_RR2.0_DL3,1184,417,767,35.22,-9373.37,626.63,-93.73,94.06,-7.9167,-0.9966,,0.01,1.0,2.0,4.74,9.48,3
FULL,FULL_R0.01_ATR1.0_RR2.0_DL4,1259,442,817,35.11,-9502.52,497.48,-95.03,95.12,-7.5477,-0.999,,0.01,1.0,2.0,4.71,9.42,4
FULL,FULL_R0.01_ATR1.0_RR2.0_DL5,1289,455,834,35.3,-9506.23,493.77,-95.06,95.15,-7.3749,-0.999,,0.01,1.0,2.0,4.69,9.37,5
FULL,FULL_R0.01_ATR1.0_RR2.5_DL1,604,186,418,30.79,-7287.52,2712.48,-72.88,73.9,-12.0654,-0.9862,,0.01,1.0,2.5,4.66,11.66,1
FULL,FULL_R0.01_ATR1.0_RR2.5_DL2,963,298,665,30.94,-8653.72,1346.28,-86.54,86.54,-8.9862,-1.0,,0.01,1.0,2.5,4.76,11.91,2
FULL,FULL_R0.01_ATR1.0_RR2.5_DL3,1139,356,783,31.26,-8952.2,1047.8,-89.52,89.83,-7.8597,-0.9966,,0.01,1.0,2.5,4.76,11.89,3
FULL,FULL_R0.01_ATR1.0_RR2.5_DL4,1211,378,833,31.21,-9117.43,882.57,-91.17,91.38,-7.5288,-0.9977,,0.01,1.0,2.5,4.74,11.86,4
FULL,FULL_R0.01_ATR1.0_RR2.5_DL5,1241,386,855,31.1,-9217.52,782.48,-92.18,92.36,-7.4275,-0.998,,0.01,1.0,2.5,4.71,11.78,5
FULL,FULL_R0.01_ATR1.0_RR3.0_DL1,580,156,424,26.9,-7223.01,2776.99,-72.23,73.33,-12.4535,-0.985,,0.01,1.0,3.0,4.67,14.0,1
FULL,FULL_R0.01_ATR1.0_RR3.0_DL2,924,251,673,27.16,-8514.06,1485.94,-85.14,85.14,-9.2144,-1.0,,0.01,1.0,3.0,4.8,14.41,2
FULL,FULL_R0.01_ATR1.0_RR3.0_DL3,1095,303,792,27.67,-8698.73,1301.27,-86.99,86.99,-7.944,-1.0,,0.01,1.0,3.0,4.81,14.42,3
FULL,FULL_R0.01_ATR1.0_RR3.0_DL4,1163,320,843,27.52,-8946.01,1053.99,-89.46,89.76,-7.6922,-0.9967,,0.01,1.0,3.0,4.79,14.37,4
FULL,FULL_R0.01_ATR1.0_RR3.0_DL5,1192,329,863,27.6,-8974.99,1025.01,-89.75,90.04,-7.5294,-0.9968,,0.01,1.0,3.0,4.76,14.27,5
FULL,FULL_R0.01_ATR1.25_RR1.0_DL1,774,417,357,53.88,-7863.73,2136.27,-78.64,79.06,-10.1599,-0.9946,,0.01,1.25,1.0,5.35,5.35,1
FULL,FULL_R0.01_ATR1.25_RR1.0_DL2,1150,626,524,54.43,-8878.81,1121.19,-88.79,88.99,-7.7207,-0.9978,,0.01,1.25,1.0,5.34,5.34,2
